,foundation_name,link,Brand,price,colors,rank
93,Teint Idole Ultra Longwear Foundation Stick SPF 21,https://www.sephora.com/product/teint-idole-ultra-longwear-foundation-stick-spf-21-P403944?skuId=1919281&icid2=products,Lancôme,$43.00,29 more colors,width:88.14%
94,Acne Solutions Liquid Makeup,https://www.sephora.com/product/acne-solutions-liquid-makeup-P259605?icid2=products,CLINIQUE,$29.00,13 more colors,width:83.66199999999999%
95,Superpowder Double Face Makeup,https://www.sephora.com/product/superpowder-double-face-makeup-P122736?icid2=products,CLINIQUE,$27.00,5 more colors,width:86.8%
96,BB Crème au Ginseng,https://www.sephora.com/product/bb-creme-au-ginseng-P396093?icid2=products,Erborian,$39.00,2 more colors,width:87.132%
97,True Skin Serum Foundation,https://www.sephora.com/product/true-skin-serum-foundation-P429548?icid2=products,ILIA,$54.00,17 more colors,width:84.00000000000001%
98,Vibrancy Argan Oil Foundation Fluid,https://www.sephora.com/product/vibrancy-argan-oil-foundation-fluid-P407445?icid2=products,Josie Maran,$45.00,13 more colors,width:75.736%
99,Diorskin Nude Air Serum Foundation,https://www.sephora.com/product/diorskin-nude-air-serum-foundation-P393135?icid2=products,Dior,$53.00,5 more colors,width:83.08%
100,Water Blend Face & Body Foundation,https://www.sephora.com/product/water-blend-face-body-foundation-P410512?icid2=products,MAKE UP FOR EVER,$43.00,19 more colors,width:81.922%
101,SKIN FEELS GOOD Skin Nourishing Foundation,https://www.sephora.com/product/skin-feels-good-skin-nourishing-foundation-P428823?icid2=products,Lancôme,$35.00,9 more colors,width:87.924%
102,No Foundation Foundation Serum SPF 30,https://www.sephora.com/product/no-foundation-foundation-serum-spf-30-P386465?icid2=products,Perricone MD,$22.00 - $45.00,,width:85.018%
103,Capture Dreamskin Fresh & Perfect Cushion Broad Spectrum SPF 50,https://www.sephora.com/product/capture-dreamskin-fresh-perfect-cushion-broad-spectrum-spf-50-P435806?icid2=products,Dior,$82.00,4 more colors,width:85.122%
104,Sunshine Skin Tint SPF 30,https://www.sephora.com/product/sunshine-skin-tint-spf-30-P410176?icid2=products,MILK MAKEUP,$42.00,7 more colors,width:77.63799999999999%
105,Perfection Mist Airbrush Foundation,https://www.sephora.com/product/perfection-mist-airbrush-foundation-P381155?skuId=1507367&icid2=products,SEPHORA COLLECTION,$15.00 - $28.00,6 more colors,width:87.072%
106,BB Cream SPF 35,https://www.sephora.com/product/bb-cream-broad-spectrum-spf-35-P375910?icid2=products,Bobbi Brown,$47.00,6 more colors,width:78.618%
107,HALO Hydrating Perfecting Powder,https://www.sephora.com/product/halo-hydrating-perfecting-powder-P228100?icid2=products,Smashbox,$49.00,6 more colors,width:87.64%
108,Stay-Matte Oil-Free Makeup,https://www.sephora.com/product/stay-matte-oil-free-makeup-P310726?icid2=products,CLINIQUE,$27.00,19 more colors,width:80.912%
109,Naked Skin One & Done Hybrid Foundation,https://www.sephora.com/product/naked-skin-one-done-hybrid-complexion-perfector-P407434?icid2=products,Urban Decay,$36.00,5 more colors,width:82.258%
110,Skin Weightless Powder Foundation,https://www.sephora.com/product/skin-weightless-powder-foundation-P388664?icid2=products,Bobbi Brown,$50.00 - $52.00,17 more colors,width:78.558%
111,Essential High Coverage Crème Foundation,https://www.sephora.com/product/essential-high-coverage-creme-foundation-P434015?icid2=products,Jouer Cosmetics,$38.00,49 more colors,width:71.80799999999999%
112,Illusion® Hyaluronic Skin Tint,https://www.sephora.com/product/illusion-hyaluronic-skin-tint-P388108?skuId=1621291&icid2=products,Hourglass,$56.00,11 more colors,width:84.07199999999999%
113,Aqua Luminous Perfecting Foundation,https://www.sephora.com/product/aqua-luminous-perfecting-foundation-P404106?icid2=products,BECCA,$44.00,8 more colors,width:72.462%
114,Moisture Surge CC Cream Hydrating Colour Corrector Broad Spectrum SPF 30,https://www.sephora.com/product/moisture-surge-cc-cream-hydrating-colour-corrector-broad-spectrum-spf-30-P378639?icid2=products,CLINIQUE,$39.00,2 more colors,width:76.486%
115,Nothing Beats the Original™ Complexion Kit,https://www.sephora.com/product/bareminerals-nothing-beats-original-4-piece-get-started-kit-P421000?icid2=products,bareMinerals,$34.00,7 more colors,width:77.33399999999999%
